Name,Year Drafted,Pick Round,Position,Y1 GP,Y1 GS,Y1 MPG,Y1 FG%,Y1 3P%,Y1 FT%,Y1 RPG,Y1 APG,Y1 SPG,Y1 BPG,Y1 PPG,Y2 GP,Y2 GS,Y2 MPG,Y2 FG%,Y2 3P%,Y2 FT%,Y2 RPG,Y2 APG,Y2 SPG,Y2 BPG,Y2 PPG,Y3 GP,Y3 GS,Y3 MPG,Y3 FG%,Y3 3P%,Y3 FT%,Y3 RPG,Y3 APG,Y3 SPG,Y3 BPG,Y3 PPG,Y4 GP,Y4 GS,Y4 MPG,Y4 FG%,Y4 3P%,Y4 FT%,Y4 RPG,Y4 APG,Y4 SPG,Y4 BPG,Y4 PPG,Active,All-Stars by Y4,Total All-Stars
Jeff Green,2007,5,SF,80,52,28.2,0.427,0.276,0.744,4.7,1.5,0.6,0.6,10.5,78,78,36.8,0.446,0.389,0.788,6.6,2,1,0.4,16.5,82,82,37.1,0.453,0.333,0.74,6,1.6,1.3,0.9,15.1,75,51,32.4,0.449,0.303,0.811,4.8,1.4,0.7,0.5,13.3,Yes,0,0
Yi Jianlian,2007,6,PF,66,49,25,0.421,0.286,0.841,5.2,0.8,0.5,0.8,8.6,61,52,23.3,0.382,0.343,0.772,5.3,1,0.5,0.6,8.6,52,51,31.8,0.403,0.366,0.798,7.2,0.9,0.7,1,12,63,11,17.7,0.418,0.231,0.681,3.9,0.4,0.4,0.5,5.6,No,0,0
Corey Brewer,2007,7,SF,79,35,22.8,0.374,0.194,0.8,3.7,1.4,1,0.3,5.8,15,8,20.5,0.411,0.417,0.737,3.3,1.7,1,0.2,6.2,82,82,30.3,0.431,0.346,0.648,3.4,2.4,1.4,0.4,13,56,22,24.3,0.384,0.263,0.708,2.7,1.4,1.6,0.2,8.6,No,0,0
Brandan Wright,2007,8,PF,38,6,9.9,0.554,0,0.675,2.6,0.2,0.2,0.6,4,39,23,17.6,0.528,0,0.741,4,0.5,0.6,0.9,8.3,21,1,9.3,0.603,0,0.5,2,0.2,0.1,0.5,4,49,0,16.1,0.618,0,0.634,3.6,0.3,0.4,1.3,6.9,No,0,0
Joakim Noah,2007,9,C,74,31,20.7,0.482,0,0.691,5.6,1.1,0.9,0.9,6.6,80,55,24.2,0.556,0,0.676,7.6,1.3,0.6,1.4,6.7,64,54,30.1,0.504,0,0.744,11,2.1,0.5,1.6,10.7,48,48,32.8,0.525,0,0.764,10.4,2.2,1,1.5,11.7,No,0,2
Spencer Hawes,2007,10,C,71,8,13.1,0.459,0.19,0.655,3.2,0.6,0.2,0.6,4.7,77,51,29.3,0.466,0.348,0.662,7.1,1.9,0.6,1.2,11.4,72,59,26.4,0.468,0.299,0.689,6.1,2.2,0.4,1.2,10,81,81,21.2,0.465,0.243,0.534,5.7,1.5,0.4,0.9,7.2,No,0,0
Glen Davis,2007,35,PF,69,1,13.6,0.484,0,0.66,3,0.4,0.4,0.3,4.5,76,16,21.5,0.442,0.4,0.73,4,0.9,0.7,0.3,7,54,1,17.3,0.437,0,0.696,3.8,0.6,0.4,0.3,6.3,78,13,29.5,0.448,0.133,0.736,5.4,1.2,1,0.4,11.7,No,0,0
Marc Gasol,2007,48,C,82,75,30.7,0.53,0,0.733,7.4,1.7,0.8,1.1,11.9,69,69,35.8,0.581,0,0.67,9.3,2.4,1,1.6,14.6,81,81,31.9,0.527,0.429,0.748,7,2.5,0.9,1.7,11.7,65,65,36.5,0.482,0.083,0.748,8.9,3.1,1,1.9,14.6,No,1,3
Derrick Rose,2008,1,PG,81,80,37,0.475,0.222,0.788,3.9,6.3,0.8,0.2,16.8,78,78,36.8,0.489,0.267,0.766,3.8,6,0.7,0.3,20.8,81,81,37.4,0.445,0.332,0.858,4.1,7.7,1,0.6,25,39,39,35.2,0.435,0.312,0.812,3.4,7.9,0.9,0.7,21.8,No,3,3
Michael Beasley,2008,2,PF,81,19,24.8,0.472,0.407,0.772,5.4,1,0.5,0.5,13.9,78,78,29.8,0.45,0.275,0.8,6.4,1.3,1,0.6,14.8,73,73,32.3,0.45,0.366,0.753,5.6,2.2,0.7,0.7,19.2,47,7,23.1,0.445,0.376,0.642,4.4,1,0.4,0.4,11.5,No,0,0
O. J. Mayo,2008,3,SG,82,82,38,0.438,0.384,0.879,3.8,3.2,1.1,0.2,18.5,82,82,38,0.458,0.383,0.809,3.8,3,1.2,0.2,17.5,71,17,26.3,0.407,0.364,0.756,2.4,2,1,0.4,11.3,66,0,26.8,0.408,0.364,0.773,3.2,2.6,1.1,0.3,12.6,No,0,0
Russell Westbrook,2008,4,PG,82,65,32.5,0.398,0.271,0.815,4.9,5.3,1.3,0.2,15.3,82,82,34.3,0.418,0.221,0.78,4.9,8,1.3,0.4,16.1,82,82,34.7,0.442,0.33,0.842,4.6,8.2,1.9,0.4,21.9,66,66,35.3,0.457,0.316,0.823,4.6,5.5,1.7,0.3,23.6,Yes,2,9
Kevin Love,2008,5,PF,81,37,25.3,0.459,0.105,0.789,9.1,1,0.4,0.6,11.1,60,22,28.6,0.45,0.33,0.815,11,2.3,0.7,0.4,14,73,73,35.8,0.47,0.417,0.85,15.2,2.5,0.6,0.4,20.2,55,55,39,0.448,0.372,0.824,13.3,2,0.9,0.5,26,Yes,2,5
Eric Gordon,2008,7,SG,78,65,34.3,0.456,0.389,0.854,2.6,2.8,1,0.4,16.1,62,60,36,0.449,0.371,0.742,2.6,3,1.1,0.2,16.9,56,56,37.7,0.45,0.364,0.825,2.9,4.4,1.3,0.3,22.3,9,9,34.5,0.45,0.25,0.754,2.8,3.4,1.4,0.4,20.6,Yes,0,0
D. J. Augustin,2008,9,PG,72,12,26.5,0.43,0.439,0.893,1.8,3.5,0.6,0,11.8,80,2,18.4,0.386,0.393,0.779,1.2,2.4,0.6,0.1,6.3,82,82,33.6,0.416,0.333,0.906,2.7,6.1,0.7,0,14.4,48,46,29.3,0.376,0.341,0.875,2.3,6.4,0.8,0,11.1,No,0,0
Brook Lopez,2008,10,C,82,75,30.5,0.531,0,0.793,8.1,1,0.5,1.8,13,82,82,36.9,0.499,0,0.817,8.6,2.3,0.7,1.7,18.8,82,82,35.2,0.492,0,0.787,6,1.6,0.6,1.5,20.4,5,5,27.2,0.494,0,0.625,3.6,1.2,0.2,0.8,19.2,Yes,0,1
Jason Thompson,2008,12,PF,82,56,28.1,0.497,0,0.692,7.4,1.1,0.6,0.7,11.1,75,58,31.4,0.472,0.1,0.715,8.5,1.7,0.5,1,12.5,75,39,23.3,0.507,0,0.605,6.1,1.2,0.4,0.6,8.8,64,47,25.9,0.535,0,0.602,6.9,1.2,0.7,0.7,9.1,No,0,0
Brandon Rush,2008,13,SG,75,19,24,0.423,0.373,0.697,3.1,0.9,0.5,0.5,8.1,82,64,30.4,0.423,0.411,0.629,4.2,1.4,0.7,0.8,9.4,67,21,26.2,0.421,0.417,0.755,3.2,0.9,0.6,0.5,9.1,65,1,26.4,0.501,0.452,0.793,3.9,1.4,0.5,0.9,9.8,No,0,0
Robin Lopez,2008,15,C,60,7,10.2,0.518,0,0.691,2,0.1,0.2,0.7,3.2,51,31,19.3,0.588,0,0.704,4.9,0.1,0.2,1,8.4,67,56,14.8,0.501,0,0.74,3.2,0.1,0.3,0.7,6.4,64,0,14,0.461,0,0.714,3.3,0.3,0.3,0.9,5.4,No,0,0
Marreese Speights,2008,16,PF,79,2,16,0.502,0.25,0.773,3.7,0.4,0.3,0.7,7.7,62,1,16.4,0.477,0,0.745,4.1,0.6,0.5,0.5,8.6,64,1,11.5,0.495,0.25,0.753,3.3,0.5,0.1,0.3,5.4,60,54,22.4,0.453,0,0.771,6.2,0.8,0.4,0.5,8.8,No,0,0
Roy Hibbert,2008,17,C,69,42,14.4,0.471,0,0.667,3.5,0.7,0.3,1.1,7.1,81,69,25.1,0.495,0.5,0.754,5.7,2,0.4,1.6,11.7,81,80,27.7,0.461,0,0.745,7.5,2,0.4,1.8,12.7,65,65,29.8,0.497,0,0.711,8.8,1.7,0.5,2,12.8,No,1,2
JJ Hickson,2008,19,PF,62,0,11.4,0.515,0,0.672,2.7,0.1,0.2,0.5,4,81,73,20.9,0.554,0,0.681,4.9,0.5,0.4,0.5,8.5,80,66,28.2,0.458,0,0.673,8.7,1.1,0.6,0.7,13.8,35,9,18.4,0.37,0,0.638,5.1,0.6,0.5,0.5,4.7,No,0,0
Ryan Anderson,2008,21,PF,66,30,19.9,0.393,0.365,0.845,4.7,0.8,0.7,0.3,7.4,63,6,14.5,0.436,0.37,0.866,3.2,0.6,0.4,0.2,7.7,64,14,22.1,0.43,0.393,0.812,5.5,0.8,0.5,0.6,10.6,61,61,32.2,0.439,0.393,0.877,7.7,0.9,0.8,0.4,16.1,No,0,0
Courtney Lee,2008,22,SG,77,42,25.2,0.45,0.404,0.83,2.3,1.2,1,0.2,8.4,71,66,33.5,0.436,0.338,0.869,3.5,1.7,1.3,0.3,12.5,81,1,21.3,0.439,0.408,0.792,2.6,1.2,0.7,0.2,8.3,58,26,30.3,0.433,0.401,0.826,2.7,1.5,1.2,0.4,11.4,No,0,0
DeAndre Jordan,2008,35,C,53,13,14.6,0.633,0,0.385,4.5,0.2,0.2,1.1,4.3,70,12,16.2,0.605,0,0.375,5,0.3,0.2,0.9,4.8,80,66,25.6,0.686,0,0.452,7.2,0.5,0.5,1.8,7.1,66,66,27.2,0.632,0,0.525,8.3,0.3,0.5,2,7.4,Yes,0,1
Goran Dragić,2008,45,PG,55,1,13.2,0.393,0.37,0.769,1.9,2,0.5,0.1,4.5,80,2,18,0.452,0.394,0.736,2.1,3,0.6,0.1,7.9,48,2,17.8,0.421,0.277,0.608,1.8,3.1,0.8,0.1,7.4,22,3,17.2,0.472,0.519,0.667,2.5,2.5,0.6,0.2,7.7,No,0,1
Blake Griffin,2009,1,PF,82,82,38,0.506,0.292,0.642,12.1,3.8,0.8,0.5,22.5,66,66,36.3,0.549,0.125,0.521,10.9,3.2,0.8,0.7,20.7,80,80,32.5,0.538,0.179,0.66,8.3,3.7,1.2,0.6,18,80,80,36.1,0.528,0.273,0.715,9.5,3.9,1.2,0.6,24.1,No,3,6
James Harden,2009,3,SG,76,0,22.9,0.403,0.375,0.808,3.2,1.8,1.1,0.3,9.9,82,5,26.7,0.436,0.349,0.843,3.1,2.1,1.1,0.3,12.2,62,2,31.4,0.491,0.39,0.846,4.1,3.7,1,0.2,16.8,78,78,38.3,0.438,0.368,0.851,4.9,5.8,1.8,0.5,25.9,Yes,1,11
Tyreke Evans,2009,4,SG,72,72,37.2,0.458,0.255,0.748,5.3,5.8,1.5,0.4,20.1,57,53,37,0.409,0.291,0.771,4.8,5.6,1.5,0.5,17.8,63,61,34.3,0.453,0.202,0.779,4.6,4.5,1.3,0.5,16.5,65,61,31,0.478,0.338,0.775,4.4,3.5,1.4,0.4,15.2,Yes,0,0
Stephen Curry,2009,7,PG,80,77,36.2,0.462,0.437,0.885,4.5,5.9,1.9,0.2,17.5,74,74,33.6,0.48,0.442,0.934,3.9,5.8,1.5,0.3,18.6,26,23,28.1,0.49,0.455,0.809,3.4,5.3,1.5,0.3,14.7,78,78,38.2,0.451,0.453,0.9,4,6.9,1.6,0.2,22.9,Yes,0,11
DeMar DeRozan,2009,9,SG,77,65,21.6,0.498,0.25,0.763,2.9,0.7,0.6,0.2,8.6,82,82,34.8,0.467,0.096,0.813,3.8,1.8,1,0.4,17.2,63,63,35,0.422,0.261,0.81,3.3,2,0.8,0.3,16.7,82,82,36.7,0.445,0.283,0.831,3.9,2.5,0.9,0.3,18.1,Yes,0,6
Tyler Hansbrough,2009,13,PF,29,1,17.6,0.36,0,0.743,4.8,1,0.6,0.3,8.5,70,29,21.9,0.465,0,0.779,5.2,0.6,0.5,0.2,11,66,0,21.8,0.405,0,0.813,4.4,0.5,0.8,0.1,9.3,81,8,16.9,0.432,0,0.72,4.6,0.4,0.4,0.2,7,No,0,0
Jrue Holiday,2009,17,PG,73,51,24.2,0.442,0.39,0.756,2.6,3.8,1.1,0.2,8,82,82,35.4,0.446,0.365,0.823,4,6.5,1.5,0.4,14,65,65,33.8,0.432,0.38,0.783,3.3,4.5,1.6,0.3,13.5,78,78,37.5,0.431,0.368,0.752,4.2,8,1.6,0.4,17.7,Yes,0,0
Jeff Teague,2009,19,PG,71,3,10.1,0.396,0.219,0.837,0.9,1.7,0.5,0.2,3.2,70,7,13.8,0.438,0.375,0.794,1.5,2,0.6,0.4,5.2,66,66,33.1,0.476,0.342,0.757,2.4,4.9,1.6,0.6,12.6,80,78,32.9,0.451,0.359,0.881,2.3,7.2,1.5,0.4,14.6,No,0,1
Darren Collison,2009,21,PG,76,37,27.8,0.477,0.4,0.851,2.5,5.7,1,0.1,12.4,79,79,29.9,0.457,0.331,0.871,2.8,5.1,1.1,0.2,13.2,60,56,31.3,0.44,0.362,0.83,3.1,4.8,0.8,0.2,10.3,81,47,29.3,0.471,0.353,0.88,2.7,5.1,1.2,0.1,12,No,0,0
DeMarre Carroll,2009,27,SF,71,1,11.2,0.396,0,0.623,2.1,0.5,0.4,0.1,2.9,7,0,5.6,0.444,0,1,1.1,0.3,0.1,0.1,1.4,5,0,2.2,0,0,0,0,0.4,0,0,0,4,0,5.3,1,0,0,0.8,0.8,0,0,3,Yes,0,0
Jeff Pendergraph,2009,31,PF,39,4,10.4,0.662,0,0.9,2.5,0,0.2,0.4,2.7,20,1,5.3,0.417,0,0.571,1.6,0.2,0.2,0.1,1.7,37,0,10,0.484,0.5,0.913,2.8,0.4,0.2,0.3,3.9,73,10,13,0.58,0,0.691,3.5,0.8,0.2,0.3,3.3,Yes,0,0
Derrick Brown,2009,40,SF,57,0,9.4,0.463,0.286,0.667,1.4,0.3,0.4,0.2,3.3,41,1,11.9,0.549,0.333,0.532,2,0.7,0.4,0.2,3.7,8,0,11,0.667,0.75,0.538,1.9,0.5,0.5,0.3,4.3,65,17,22.2,0.518,0.25,0.667,3.6,1,0.7,0.2,8.1,No,0,0
Danny Green,2009,46,SF,20,0,5.8,0.385,0.273,0.667,0.9,0.3,0.3,0.2,2,8,0,11.5,0.486,0.368,0,1.9,0.3,0.3,0.1,5.1,66,38,23.1,0.442,0.436,0.79,3.5,1.3,0.9,0.7,9.1,80,80,27.5,0.448,0.429,0.848,3.1,1.8,1.2,0.7,10.5,No,0,0
John Wall,2010,1,PG,69,64,37.8,0.409,0.296,0.766,4.6,8.3,1.8,0.5,16.4,66,66,36.2,0.423,0.071,0.789,4.5,8,1.4,0.9,16.3,49,42,32.7,0.441,0.267,0.804,4,7.6,1.3,0.8,18.5,82,82,36.3,0.433,0.351,0.805,4.1,8.8,1.8,0.5,19.3,No,1,5
DeMarcus Cousins,2010,5,C,81,62,28.5,0.43,0.167,0.687,8.6,2.5,1,0.8,14.1,64,62,30.5,0.448,0.143,0.702,11,1.6,1.5,1.2,18.1,75,74,30.5,0.465,0.182,0.738,9.9,2.7,1.4,0.7,17.1,71,71,32.4,0.496,0,0.726,11.7,2.9,1.5,1.3,22.7,No,0,4
Gordon Hayward,2010,9,SF,72,17,16.9,0.485,0.473,0.711,1.9,1.1,0.4,0.3,5.4,66,58,30.5,0.456,0.346,0.832,3.5,3.1,0.8,0.6,11.8,72,27,29.2,0.435,0.415,0.827,3.1,3,0.8,0.5,14.1,77,77,36.4,0.413,0.304,0.816,5.1,5.2,1.4,0.5,16.2,Yes,0,1
Paul George,2010,10,SF,61,19,20.7,0.453,0.297,0.762,3.7,1.1,1,0.4,7.8,66,66,29.7,0.44,0.385,0.802,5.6,2.4,1.6,0.6,12.1,79,79,37.6,0.419,0.362,0.807,7.6,4.1,1.8,0.6,17.4,80,80,36.2,0.424,0.364,0.864,6.8,3.5,1.9,0.3,21.7,Yes,2,9
Luke Babbitt,2010,16,SF,24,0,5.7,0.273,0.188,0.333,1.3,0.3,0.1,0.1,1.5,40,4,13.4,0.41,0.43,0.85,2.4,0.4,0.3,0.1,5.1,62,0,11.8,0.368,0.348,0.769,2.2,0.5,0.2,0.1,3.9,27,2,17.5,0.39,0.379,0.778,3.3,1.1,0.3,0.4,6.3,Yes,0,0
Trevor Booker,2010,23,PF,65,14,16.4,0.549,0,0.673,3.9,0.5,0.4,0.6,5.3,50,32,25.2,0.531,0.5,0.602,6.5,0.8,1,0.9,8.4,48,14,18.5,0.491,0,0.556,5,0.8,0.7,0.3,5.3,72,45,21.6,0.551,0,0.618,5.3,0.9,0.6,0.6,6.8,No,0,0
Jordan Crawford,2010,27,SG,16,0,10,0.351,0.333,0.667,1.8,0.9,0.2,0,4.2,26,18,33.3,0.39,0.238,0.885,3,3.9,1.4,0.1,16.3,64,32,27.4,0.4,0.289,0.793,2.6,3,0.9,0.1,14.7,43,12,26.2,0.415,0.345,0.821,3.1,3.7,0.6,0.1,13.2,Yes,0,0
Hassan Whiteside,2010,33,C,1,0,2,0,0,0,0,0,0,0,0,18,0,6.1,0.444,0,0.417,2.2,0,0.2,0.8,1.6,48,32,23.8,0.628,0,0.5,10,0.1,0.6,2.6,11.8,73,43,29.1,0.606,0,0.65,11.8,0.4,0.6,3.7,14.2,No,0,0
Nemanja Bjelica,2010,35,PF,60,0,17.9,0.468,0.384,0.727,3.5,1.4,0.4,0.4,5.1,65,1,18.3,0.424,0.316,0.738,3.8,1.2,0.6,0.3,6.2,67,21,20.5,0.461,0.415,0.8,4.1,1.3,0.7,0.2,6.8,77,70,23.2,0.479,0.401,0.761,5.8,1.9,0.7,0.7,9.6,No,0,0
Landry Fields,2010,39,SG,82,81,31,0.497,0.393,0.769,6.4,1.9,1,0.2,9.7,66,62,28.7,0.46,0.256,0.562,4.2,2.6,1.2,0.3,8.8,51,22,20.3,0.457,0.143,0.642,4.1,1.2,0.6,0.2,4.7,30,2,10.7,0.403,0,0.636,2,0.7,0.3,0.1,2.3,No,0,0
Lance Stephenson,2010,40,SG,12,0,9.6,0.333,0,0.786,1.5,1.8,0.3,0,3.1,42,1,10.5,0.376,0.133,0.471,1.3,1.1,0.5,0.1,2.5,78,72,29.2,0.46,0.33,0.652,3.9,2.9,1,0.2,8.8,78,78,35.3,0.491,0.352,0.711,7.2,4.6,0.7,0.1,13.8,Yes,0,0
Jarvis Varnado,2010,41,PF,5,0,3.6,0.5,0,0.5,0.6,0.2,0.2,0,1.2,8,0,5,0.333,0,0,0.8,0.3,0,0.3,0.3,1,0,2,0,0,0,0,0,0,0,0,23,0,14.7,0.6,0,0.519,2.7,0.6,0.4,1.3,4.3,Yes,0,0
Jeremy Evans,2010,55,PF,49,3,9.4,0.661,0,0.703,2,0.5,0.3,0.3,3.6,29,0,7.5,0.643,0,0.5,1.7,0.4,0.2,0.8,2.1,37,0,5.8,0.614,0,0.636,1.6,0.3,0.2,0.4,2,66,4,18.3,0.527,0,0.68,4.7,0.7,0.6,0.7,6.1,Yes,0,0
Kyrie Irving,2011,1,PG,51,51,30.5,0.469,0.399,0.872,3.7,5.4,1.1,0.4,18.5,59,59,34.7,0.452,0.391,0.855,3.7,5.9,1.5,0.4,22.5,71,71,35.2,0.43,0.358,0.861,3.6,6.1,1.5,0.3,20.8,75,75,36.4,0.468,0.415,0.863,3.2,5.2,1.5,0.3,21.7,Yes,2,9
Tristan Thompson,2011,4,C/PF,60,25,23.7,0.439,0,0.552,6.5,0.5,0.5,1,8.2,82,82,31.3,0.488,0,0.608,9.4,1.3,0.7,0.9,11.7,82,82,31.6,0.477,0,0.693,9.2,0.9,0.5,0.4,11.7,82,15,26.8,0.547,0,0.641,8,0.5,0.4,0.7,8.5,Yes,0,0
Jonas Valančiūnas,2011,5,C,62,57,23.9,0.557,0,0.789,6,0.7,0.3,1.3,8.9,81,81,28.2,0.531,0,0.762,8.8,0.7,0.3,0.9,11.3,80,80,26.2,0.572,0,0.786,8.7,0.5,0.4,1.2,12,60,59,25.9,0.565,0,0.761,9.1,0.7,0.4,1.3,12.8,Yes,0,0
Bismack Biyombo,2011,7,C,63,41,23.1,0.464,0,0.483,5.8,0.4,0.3,1.8,5.2,80,65,27.3,0.451,0,0.521,7.3,0.4,0.4,1.8,4.8,77,9,13.9,0.611,0,0.517,4.8,0.1,0.1,1.1,2.9,64,21,19.4,0.543,0,0.583,6.4,0.3,0.3,1.5,4.8,No,0,0
Kemba Walker,2011,9,PG,66,25,27.2,0.366,0.305,0.789,3.5,4.4,0.9,0.3,12.1,82,82,34.9,0.423,0.322,0.798,3.5,5.7,2,0.4,17.7,73,73,35.8,0.393,0.333,0.837,4.2,6.1,1.2,0.4,17.7,62,58,34.2,0.385,0.304,0.827,3.5,5.1,1.4,0.5,17.3,No,0,4
Klay Thompson,2011,11,SG,66,29,24.4,0.443,0.414,0.868,2.4,2,0.7,0.3,12.5,82,82,35.8,0.422,0.401,0.841,3.8,2.2,1,0.5,16.6,81,81,35.4,0.444,0.417,0.795,3.1,2.2,0.9,0.5,18.4,77,77,31.9,0.463,0.439,0.879,3.2,2.9,1.1,0.8,21.7,Yes,1,5
Alec Burks,2011,12,SG,59,0,15.9,0.429,0.333,0.727,2.2,0.9,0.5,0.1,7.2,64,0,17.8,0.42,0.359,0.713,2.3,1.4,0.5,0.2,7,78,12,28.1,0.457,0.35,0.748,3.3,2.7,0.9,0.2,14,27,27,33.3,0.403,0.382,0.822,4.2,3,0.6,0.2,13.9,No,0,0
Markieff Morris,2011,13,PF,63,7,19.5,0.399,0.347,0.717,4.4,1,0.7,0.7,7.4,82,32,22.4,0.407,0.336,0.732,4.8,1.3,0.9,0.8,8.2,81,0,26.6,0.486,0.315,0.792,6,1.8,0.8,0.6,13.8,82,82,31.5,0.465,0.318,0.763,6.2,2.3,1.2,0.5,15.3,Yes,0,0
Kawhi Leonard,2011,15,SF,64,39,24,0.493,0.376,0.773,5.1,1.1,1.3,0.4,7.9,58,57,31.2,0.494,0.374,0.825,6,1.6,1.7,0.6,11.9,66,65,29.1,0.522,0.379,0.802,6.2,2,1.7,0.8,12.8,64,64,31.8,0.479,0.349,0.802,7.2,2.5,2.3,0.8,16.5,Yes,0,6
Nikola Vučević,2011,16,C,51,15,15.9,0.45,0.375,0.529,4.8,0.6,0.4,0.7,5.5,77,77,33.2,0.519,0,0.683,11.9,1.9,0.8,1,13.1,57,57,31.8,0.507,0,0.766,11,1.8,1.1,0.8,14.2,74,74,34.2,0.523,0.333,0.752,10.9,2,0.7,0.7,19.3,Yes,0,2
