Name,Year Drafted,Pick Round,Position,Y1 GP,Y1 GS,Y1 MPG,Y1 FG%,Y1 3P%,Y1 FT%,Y1 RPG,Y1 APG,Y1 SPG,Y1 BPG,Y1 PPG,Y2 GP,Y2 GS,Y2 MPG,Y2 FG%,Y2 3P%,Y2 FT%,Y2 RPG,Y2 APG,Y2 SPG,Y2 BPG,Y2 PPG,Y3 GP,Y3 GS,Y3 MPG,Y3 FG%,Y3 3P%,Y3 FT%,Y3 RPG,Y3 APG,Y3 SPG,Y3 BPG,Y3 PPG,Y4 GP,Y4 GS,Y4 MPG,Y4 FG%,Y4 3P%,Y4 FT%,Y4 RPG,Y4 APG,Y4 SPG,Y4 BPG,Y4 PPG,Active,All-Stars by Y4,Total All-Stars
Richaun Holmes,2015,37,SF/PF,51,1,13.8,0.514,0.182,0.689,2.6,0.6,0.4,0.8,5.6,57,17,20.9,0.558,0.351,0.699,5.5,1,0.7,1,9.8,48,2,15.5,0.56,0.129,0.661,4.4,1.3,0.4,0.6,6.5,70,4,16.9,0.608,0,0.731,4.7,0.9,0.6,1.1,8.2,Yes,0,0
Pat Connaughton,2015,41,SG,34,0,4.2,0.265,0.238,1,0.9,0.3,0.1,0,1.1,39,1,8.1,0.514,0.515,0.778,1.3,0.7,0.2,0.1,2.5,82,5,18.1,0.423,0.352,0.841,2,1.1,0.3,0.3,5.4,61,2,20.7,0.466,0.33,0.725,4.2,2,0.5,0.4,6.9,Yes,0,0
Andrew Harrison,2015,44,PG,72,18,20.5,0.325,0.276,0.763,1.9,2.8,0.7,0.3,5.9,56,46,23.7,0.422,0.331,0.78,2.3,3.2,0.7,0.5,9.5,1,0,5,0.5,0,0,0,0,0,0,2,10,0,14.4,0.308,0.214,1,1.5,1.7,0.4,0.2,4.3,Yes,0,0
Norman Powell,2015,46,SG,49,24,14.8,0.424,0.404,0.811,2.3,1,0.6,0.2,5.6,76,18,18,0.449,0.324,0.792,2.2,1.1,0.7,0.2,8.4,70,18,15.2,0.401,0.285,0.821,1.7,1.3,0.5,0.2,5.5,60,3,18.8,0.483,0.4,0.827,2.3,1.5,0.7,0.2,8.6,Yes,0,0
Ben Simmons,2016,1,PF/PG,81,81,33.7,0.545,0,0.56,8.1,8.2,1.7,0.9,15.8,79,79,34.2,0.563,0,0.6,8.8,7.7,1.4,0.8,16.9,57,57,35.4,0.58,0.286,0.621,7.8,8,2.1,0.6,16.4,58,58,32.4,0.557,0.3,0.613,7.2,6.9,1.6,0.6,14.3,Yes,3,3
Brandon Ingram,2016,2,SF,79,40,28.9,0.402,0.294,0.621,4,2.1,0.6,0.4,9.4,59,59,33.5,0.47,0.39,0.681,5.3,3.9,0.8,0.7,16.1,52,52,33.9,0.497,0.33,0.675,5.1,3,0.5,0.6,18.3,62,62,33.9,0.463,0.391,0.851,6.1,4.2,1,0.6,23.8,Yes,1,1
Jaylen Brown,2016,3,SF/SG,78,20,17.2,0.454,0.341,0.685,2.8,0.8,0.4,0.2,6.6,70,70,30.7,0.465,0.395,0.644,4.9,1.6,1,0.4,14.5,74,25,25.9,0.465,0.344,0.658,4.2,1.4,0.9,0.4,13,57,57,33.9,0.481,0.382,0.724,6.4,2.1,1.1,0.4,20.3,Yes,0,4
Jamal Murray,2016,7,PG/SG,82,9,21.5,0.404,0.334,0.883,2.6,2.1,0.6,0.3,9.9,81,80,31.7,0.451,0.378,0.905,3.7,3.4,1,0.3,16.7,75,74,32.6,0.437,0.367,0.848,4.2,4.8,0.9,0.4,18.2,59,59,32.3,0.456,0.346,0.881,4,4.8,1.1,0.3,18.5,Yes,0,0
Domantas Sabonis,2016,11,C/PF,81,66,20.1,0.399,0.321,0.657,3.6,1,0.5,0.4,5.9,74,19,24.5,0.514,0.351,0.75,7.7,2,0.5,0.4,11.6,74,5,24.8,0.59,0.529,0.715,9.3,2.9,0.6,0.4,14.1,62,62,34.8,0.54,0.254,0.723,12.4,5,0.8,0.5,18.5,Yes,1,3
Denzel Valentine,2016,14,SG/SF,57,0,17.1,0.354,0.351,0.778,2.6,1.1,0.5,0.1,5.1,77,37,27.2,0.417,0.386,0.745,5.1,3.2,0.8,0.1,10.2,36,5,13.6,0.409,0.336,0.75,2.1,1.2,0.7,0.2,6.8,62,3,16.7,0.373,0.331,0.941,3.2,1.7,0.5,0.1,6.5,Yes,0,0
Malik Beasley,2016,19,SG,22,1,7.5,0.452,0.321,0.8,0.8,0.5,0.3,0,3.8,62,0,9.4,0.41,0.341,0.667,1.1,0.5,0.2,0.1,3.2,81,18,23.2,0.474,0.402,0.848,2.5,1.2,0.7,0.1,11.3,41,0,18.2,0.389,0.36,0.868,1.9,1.2,0.8,0.1,7.9,Yes,0,0
Timothé Luwawu-Cabarrot,2016,24,SG/SF,68,19,17.2,0.402,0.311,0.854,2.2,1.1,0.5,0.1,6.4,52,7,15.5,0.375,0.335,0.793,1.4,1,0.2,0.1,5.8,21,1,5.9,0.302,0.227,0.667,0.9,0.2,0.2,0,1.7,47,2,18.1,0.435,0.388,0.852,2.7,0.6,0.4,0.1,7.8,Yes,0,0
Pascal Siakam,2016,27,PF,55,38,15.6,0.502,0.143,0.688,3.4,0.3,0.5,0.8,4.2,81,5,20.7,0.508,0.22,0.621,4.5,2,0.8,0.5,7.3,80,79,31.8,0.549,0.369,0.785,6.9,3.1,0.9,0.7,16.9,60,60,35.2,0.453,0.359,0.792,7.3,3.5,1,0.9,22.9,Yes,1,3
Dejounte Murray,2016,29,PG/SG,38,8,8.5,0.431,0.391,0.7,1.1,1.3,0.2,0.2,3.4,81,48,21.5,0.443,0.265,0.709,5.7,2.9,1.2,0.4,8.1,66,58,25.6,0.462,0.369,0.798,5.8,4.1,1.7,0.3,10.9,67,67,31.9,0.453,0.317,0.791,7.1,5.4,1.5,0.1,15.7,Yes,0,1
Patrick McCaw,2016,38,SG/SF,71,20,15.1,0.433,0.333,0.784,1.4,1.1,0.5,0.2,4,57,10,16.9,0.409,0.238,0.765,1.4,1.4,0.8,0.2,4,3,0,17.7,0.222,0.25,0,1,0.7,0.7,0,1.7,26,1,13.2,0.444,0.333,0.867,1.7,1,0.8,0.1,2.7,Yes,0,0
Jayson Tatum,2017,3,SF,80,80,30.5,0.475,0.434,0.826,5,1.6,1,0.7,13.9,79,79,31.1,0.45,0.373,0.855,6,2.1,1.1,0.7,15.7,66,66,34.3,0.45,0.403,0.812,7,3,1.4,0.9,23.4,64,64,35.8,0.459,0.386,0.868,7.4,4.3,1.2,0.5,26.4,Yes,2,6
De'Aaron Fox,2017,5,PG,73,61,27.7,0.412,0.307,0.726,2.8,4.4,1,0.3,11.6,81,81,31.4,0.458,0.371,0.727,3.8,7.3,1.6,0.6,17.3,51,49,32,0.48,0.292,0.705,3.8,6.8,1.5,0.5,21.1,58,58,35.1,0.477,0.322,0.719,3.5,7.2,1.5,0.5,25.2,Yes,0,1
Lauri Markkanen,2017,7,PF,68,68,29.7,0.434,0.362,0.843,7.5,1.2,0.6,0.6,15.2,52,51,32.3,0.43,0.361,0.872,9,1.4,0.7,0.6,18.7,50,50,29.8,0.425,0.344,0.824,6.3,1.5,0.8,0.5,14.7,51,26,25.8,0.48,0.402,0.826,5.3,0.9,0.5,0.3,13.6,Yes,0,1
Donovan Mitchell,2017,13,SG,79,71,33.4,0.437,0.34,0.805,3.7,3.7,1.5,0.3,20.5,77,77,33.7,0.432,0.362,0.806,4.1,4.2,1.4,0.4,23.8,69,69,34.3,0.449,0.366,0.863,4.4,4.3,1,0.2,24,53,53,33.4,0.438,0.386,0.845,4.4,5.2,1,0.3,26.4,Yes,2,6
Bam Adebayo,2017,14,PF/C,69,19,19.8,0.512,0,0.721,5.5,1.5,0.5,0.6,6.9,82,28,23.3,0.576,0.2,0.735,7.3,2.2,0.9,0.8,8.9,72,72,33.6,0.557,0.143,0.691,10.2,5.1,1.1,1.3,15.9,64,64,33.5,0.57,0.25,0.799,9,5.4,1.2,1,18.7,Yes,1,3
John Collins,2017,19,PF,74,26,24.1,0.576,0.34,0.715,7.3,1.3,0.6,1.1,10.5,61,59,30,0.56,0.348,0.763,9.8,2,0.4,0.6,19.5,41,41,33.2,0.583,0.401,0.8,10.1,1.5,0.8,1.6,21.6,63,63,29.3,0.556,0.399,0.833,7.4,1.2,0.5,1,17.6,Yes,0,0
Jarrett Allen,2017,22,C,72,31,20,0.589,0.333,0.776,5.4,0.7,0.4,1.2,8.2,80,80,26.2,0.59,0.133,0.709,8.4,1.4,0.5,1.5,10.9,70,64,26.5,0.649,0,0.633,9.6,1.6,0.6,1.3,11.1,63,45,30.3,0.609,0.316,0.69,9.9,1.7,0.5,1.4,13.2,Yes,0,1
O.G. Anunoby,2017,23,SF,74,62,20,0.471,0.371,0.629,2.5,0.7,2,0.7,5.9,67,6,20.2,0.453,0.332,0.581,2.9,0.7,0.3,0.7,7,69,68,29.9,0.505,0.39,0.706,5.3,1.6,0.7,1.4,10.6,43,43,33.3,0.48,0.398,0.784,5.5,2.2,0.7,1.5,15.9,Yes,0,0
Caleb Swanigan,2017,26,PF,27,3,7,0.4,0.125,0.667,2,0.5,0.2,0.1,2.3,18,0,8.1,0.318,0.2,0.857,2.9,0.4,0.2,0,1.9,3,0,11,0.444,0,0,4,1.3,0.7,0.3,2.7,7,0,3.3,0.5,0,0.5,1,0.3,0.1,0.3,0.7,No,0,0
Derrick White,2017,29,PG/SG,17,0,8.2,0.485,0.615,0.7,1.5,0.5,0.2,0.2,3.2,67,55,25.8,0.479,0.338,0.772,3.7,3.9,1,0.7,9.9,68,20,24.7,0.458,0.366,0.853,3.3,3.5,0.6,0.9,11.3,36,32,29.5,0.411,0.346,0.851,3,3.5,0.7,1,15.4,Yes,0,0
Wes Iwundu,2017,33,SF,62,12,16.5,0.427,0.196,0.723,2.2,0.9,0.5,0.2,3.7,68,13,18.1,0.412,0.367,0.816,2.7,1.1,0.4,0.3,5,52,21,18.3,0.416,0.341,0.804,2.5,1.2,0.5,0.3,5.8,23,3,12.5,0.327,0.13,0.857,2.9,0.4,0.4,0.1,2.1,Yes,0,0
Semi Ojeleye,2017,37,SF/PF,73,0,15.8,0.346,0.32,0.61,2.2,0.3,0.3,0.1,2.7,56,3,10.6,0.424,0.315,0.615,1.5,0.4,0.2,0.1,3.3,69,6,14.7,0.408,0.378,0.875,2.1,0.5,0.3,0.1,3.4,56,15,17,0.403,0.367,0.75,2.6,0.7,0.3,0,4.6,Yes,0,0
Dillon Brooks,2017,45,SF,82,74,28.7,0.44,0.356,0.747,3.1,1.6,0.9,0.2,11,18,0,18.3,0.402,0.375,0.733,1.7,0.9,0.6,0.2,7.5,73,73,28.9,0.407,0.358,0.808,3.3,2.1,0.9,0.4,16.2,67,67,29.8,0.419,0.344,0.815,2.9,2.3,1.2,0.4,17.2,Yes,0,0
Sterling Brown,2017,46,SG,54,4,14.4,0.4,0.352,0.875,2.6,0.5,0.6,0.2,4,58,7,17.8,0.465,0.361,0.69,3.2,1.4,0.4,0.1,6.4,52,1,14.7,0.371,0.324,0.8,3.5,1,0.6,0.1,5.1,51,14,24.1,0.448,0.423,0.806,4.4,1.4,0.8,0.2,8.2,Yes,0,0
Luka Dončić,2018,3,PG,72,72,32.2,0.427,0.327,0.713,7.8,6,1.1,0.3,21.2,61,61,33.6,0.463,0.316,0.758,9.4,8.8,1,0.2,28.8,66,66,34.3,0.479,0.35,0.73,8,8.6,1,0.5,27.7,65,65,35.4,0.457,0.353,0.744,9.1,8.7,1.2,0.6,28.4,Yes,3,5
Jaren Jackson Jr.,2018,4,PF,58,56,26.1,0.506,0.359,0.766,4.7,1.1,0.9,1.4,13.8,57,57,28.5,0.469,0.394,0.747,4.6,1.4,0.7,1.6,17.4,11,4,23.5,0.424,0.283,0.833,5.6,1.1,1.1,1.6,14.4,78,78,27.3,0.415,0.319,0.823,5.8,1.1,0.9,2.3,16.3,Yes,1,2
Trae Young,2018,5,PG,81,81,30.9,0.418,0.324,0.829,3.7,8.1,0.9,0.2,19.1,60,60,35.3,0.437,0.361,0.86,4.3,9.3,1.1,0.1,29.6,63,63,33.7,0.438,0.343,0.886,3.9,9.4,0.8,0.2,25.3,76,76,34.9,0.46,0.382,0.904,3.7,9.7,0.9,0.1,28.4,Yes,2,4
Wendell Carter Jr.,2018,7,C,44,44,25.2,0.485,0.188,0.795,7,1.8,0.6,1.3,10.3,43,43,29.2,0.534,0.207,0.737,9.4,1.2,0.8,0.8,11.3,32,25,24.7,0.512,0.364,0.739,7.8,2.2,0.6,0.8,10.9,62,61,29.9,0.525,0.327,0.691,10.5,2.8,0.6,0.7,15,Yes,0,0
Shai Gilgeous-Alexander,2018,11,SG/PG,82,73,26.5,0.476,0.367,0.8,2.8,3.3,1.2,0.5,10.8,70,70,34.7,0.471,0.347,0.807,5.9,3.3,1.1,0.7,19,35,35,33.7,0.5,0.418,0.874,4.7,5.9,0.8,0.7,23.7,56,56,34.7,0.453,0.3,0.81,5,5.9,1.3,0.8,24.5,Yes,1,3
Jerome Robinson,2018,13,SG,33,0,9.7,0.4,0.316,0.667,1.2,0.6,0.3,0.1,3.4,42,1,11.3,0.338,0.284,0.579,1.4,1.1,0.3,0.2,2.9,21,5,24,0.397,0.349,0.763,3.3,2,0.7,0.4,9.4,17,6,17.9,0.295,0.262,0.8,2.2,1.5,0.7,0.4,4.9,No,0,0
Josh Okogie,2018,20,SG,74,52,23.7,0.386,0.279,0.728,2.9,1.2,1.2,0.4,7.7,62,28,25,0.427,0.266,0.796,4.3,1.6,1.1,0.4,8.6,59,37,20.3,0.402,0.269,0.769,2.6,1.1,0.9,0.5,5.4,49,6,10.5,0.404,0.298,0.686,1.4,0.5,0.5,0.2,2.7,Yes,0,0
Landry Shamet,2018,26,SG,54,4,20.5,0.441,0.404,0.815,1.4,1.1,0.4,0.1,8.3,53,30,27.4,0.404,0.375,0.855,1.9,1.9,0.4,0.2,9.3,61,12,23,0.408,0.387,0.846,1.8,1.6,0.5,0.2,9.3,69,14,20.8,0.394,0.368,0.84,1.8,1.6,0.4,0.1,8.3,Yes,0,0
Jalen Brunson,2018,33,PG,73,38,21.8,0.467,0.348,0.725,2.3,3.2,0.5,0.1,9.3,57,16,17.9,0.466,0.358,0.813,2.4,3.3,0.4,0.1,8.2,68,12,25,0.523,0.405,0.795,3.4,3.5,0.5,0,12.6,79,61,31.9,0.502,0.373,0.84,3.9,4.8,0.8,0,16.3,Yes,0,2
Gary Trent Jr.,2018,37,SG,15,1,7.4,0.32,0.238,0.429,0.7,0.3,0.1,0.1,2.7,61,8,21.8,0.444,0.418,0.822,1.6,1,0.8,0.3,8.9,41,23,30.8,0.414,0.397,0.773,2.2,1.4,0.9,0.1,15.6,70,69,35,0.414,0.383,0.853,2.7,2,1.7,0.3,18.3,Yes,0,0
Zion Williamson,2019,1,PF,24,24,27.8,0.583,0.429,0.64,6.3,2.1,0.7,0.4,22.5,61,61,33.2,0.611,0.294,0.698,7.2,3.7,0.9,0.6,27,0,0,0,0,0,0,0,0,0,0,0,29,29,33,0.608,0.368,0.714,7,4.6,1.1,0.6,26,Yes,2,2
Ja Morant,2019,2,PG,67,67,31,0.477,0.335,0.776,3.9,7.3,0.9,0.3,17.8,63,63,32.6,0.449,0.303,0.728,4,7.4,0.9,0.2,19.1,57,57,33.1,0.493,0.344,0.761,5.7,6.7,1.2,0.4,27.4,61,59,31.9,0.466,0.307,0.748,5.9,8.1,1.1,0.3,26.2,Yes,2,2
Darius Garland,2019,5,PG,59,59,30.9,0.401,0.355,0.875,1.9,3.9,0.7,0.1,12.3,54,50,33.1,0.451,0.395,0.848,3.4,6.1,1.2,0.1,17.4,68,68,35.7,0.462,0.383,0.892,3.3,8.6,1.3,0.1,21.7,69,69,35.5,0.462,0.41,0.863,2.7,7.8,1.2,0.1,21.6,Yes,1,2
Cam Reddish,2019,10,SF,58,34,26.7,0.384,0.332,0.802,3.7,1.5,1.1,0.5,10.5,26,21,28.9,0.365,0.262,0.817,4,1.3,1.3,0.3,11.2,34,7,23.4,0.402,0.379,0.9,2.5,1.1,1,0.3,11.9,20,8,21.9,0.449,0.304,0.879,1.6,1,0.8,0.4,8.4,Yes,0,0
Tyler Herro,2019,13,SG,55,8,27.4,0.428,0.389,0.87,4.1,2.2,0.6,0.2,13.5,54,15,30.3,0.439,0.36,0.803,5,3.4,0.6,0.3,15.1,66,10,32.6,0.447,0.399,0.868,5,4,0.7,0.1,20.7,67,67,34.9,0.439,0.378,0.934,5.4,4.2,0.8,0.2,20.1,Yes,0,1
Nickeil Alexander-Walker,2019,17,SG,47,1,12.6,0.368,0.346,0.676,1.8,1.9,0.4,0.2,5.7,46,13,21.9,0.419,0.347,0.727,3.1,2.2,1,0.5,11,50,19,26.3,0.375,0.311,0.722,3.3,2.8,0.8,0.4,12.8,36,3,14.7,0.488,0.402,0.692,1.6,2.1,0.7,0.4,6.3,Yes,0,0
Grant Williams,2019,22,PF,69,5,15.1,0.412,0.25,0.722,2.6,1,0.4,0.5,3.4,63,9,18.1,0.437,0.372,0.588,2.8,1,0.5,0.4,4.7,77,21,24.4,0.475,0.411,0.905,3.6,1,0.5,0.7,7.8,79,23,25.9,0.454,0.395,0.77,4.6,1.7,0.5,0.4,8.1,Yes,0,0
Dylan Windler,2019,26,SF,31,0,16.5,0.438,0.338,0.778,3.5,1.1,0.6,0.4,5.2,50,0,9.2,0.378,0.3,0.833,1.8,0.7,0.3,0.1,2.2,3,0,3.5,0.667,0.5,0,0,0.3,0.3,0,1.7,3,0,2.5,0.5,0.5,0,0.3,0.3,0,0,1,Yes,0,0
Keldon Johnson,2019,29,SF,17,1,17.7,0.596,0.591,0.795,3.4,0.9,0.8,0.1,9.1,69,67,28.5,0.479,0.331,0.74,6,1.8,0.6,0.3,12.8,75,74,31.9,0.466,0.398,0.756,6.1,2.1,0.8,0.2,17,63,63,32.8,0.452,0.329,0.749,5,2.9,0.7,0.2,22,Yes,0,0
Nic Claxton,2019,31,PF,15,0,12.5,0.563,0.143,0.524,2.9,1.1,0.1,0.5,4.4,32,1,18.6,0.621,0.2,0.484,5.2,0.9,0.7,1.3,6.6,47,19,20.7,0.674,0,0.581,5.6,0.9,0.5,1.1,8.7,76,76,29.9,0.705,0,0.541,9.2,1.9,0.9,2.5,12.6,Yes,0,0
Bruno Fernando,2019,34,C,56,13,12.7,0.518,0.135,0.569,3.5,0.9,0.3,0.3,4.3,33,0,6.8,0.409,0,0.682,2.4,0.3,0.1,0.1,1.5,20,0,2.9,0.5,1,0.8,0.8,0.2,0,0.2,1,10,0,9.4,0.707,0,0.579,4,0.3,0.1,0.8,6.9,Yes,0,0
Cody Martin,2019,36,SF,48,3,18.8,0.43,0.234,0.646,3.3,2,0.8,0.2,5,52,10,16.3,0.441,0.276,0.581,3.1,1.7,0.7,0.2,4,71,11,26.3,0.482,0.384,0.701,4,2.5,1.2,0.5,7.7,7,0,19.1,0.389,0.214,0.571,3.4,1.6,0.6,0.1,5,Yes,0,0
Jaylen Nowell,2019,43,SG,15,0,10.1,0.358,0.115,0.941,0.9,1.3,0.2,0.1,3.8,42,0,18.1,0.424,0.333,0.818,2.3,1.5,0.5,0.3,9,62,1,15.7,0.475,0.394,0.783,2,2.1,0.4,0.2,8.5,65,2,19.3,0.448,0.289,0.778,2.6,2,0.6,0.1,10.8,Yes,0,0
Isaiah Roby,2019,45,SF,3,0,3.7,0,0,0,0.7,0,0,0,0,61,34,23.4,0.483,0.294,0.744,5.6,1.8,0.9,0.6,8.7,45,28,21.1,0.514,0.444,0.672,4.8,1.6,0.8,0.8,10.1,42,2,11.3,0.432,0.3,0.488,2.5,0.9,0.4,0.2,4.1,Yes,0,0
Tremont Waters,2019,51,PG,11,1,10.8,0.286,0.167,1,1.1,1.5,0.9,0.2,3.6,26,3,9.2,0.405,0.395,0.941,0.8,2.4,0.6,0,3.8,2,0,21,0.25,0.222,0,2,3.5,2,0,4,1,0,8,0.5,0,0,0,0,0,0,2,No,0,0
Anthony Edwards,2020,1,SG,72,55,32.1,0.417,0.329,0.776,4.7,2.9,1.1,0.5,19.3,72,72,34.3,0.441,0.357,0.786,4.8,3.8,1.5,0.6,21.3,79,79,36,0.459,0.369,0.756,5.8,4.4,1.6,0.7,24.6,79,78,35.1,0.461,0.357,0.836,5.4,5.1,1.3,0.5,25.9,Yes,2,3
LaMelo Ball,2020,3,PG,51,31,28.8,0.436,0.352,0.758,5.9,6.1,1.6,0.4,15.7,75,75,32.3,0.429,0.389,0.872,6.7,7.6,1.6,0.4,20.1,36,36,35.2,0.411,0.376,0.836,6.4,8.4,1.3,0.3,23.3,22,22,32.3,0.433,0.355,0.865,5.1,8,1.8,0.2,23.9,Yes,1,1
Onyeka Okongwu,2020,6,PF,50,4,12,0.644,0,0.632,3.3,0.4,0.5,0.7,4.6,48,6,20.7,0.69,0,0.727,5.9,1.1,0.6,1.3,8.2,80,18,23.1,0.638,0.308,0.781,7.2,1,0.7,1.3,9.9,55,8,25.5,0.611,0.333,0.793,6.8,1.3,0.5,1.1,10.2,Yes,0,0
Tyrese Haliburton,2020,12,PG,58,20,30.1,0.472,0.409,0.857,3,5.3,1.3,0.5,13,77,77,36.1,0.502,0.416,0.849,4.3,9.6,1.8,0.6,17.5,56,56,33.6,0.49,0.4,0.871,3.7,10.4,1.6,0.4,20.7,69,68,32.2,0.477,0.364,0.855,3.9,10.9,1.2,0.7,20.1,Yes,2,2
Tyrese Maxey,2020,21,PG,61,8,15.3,0.462,0.301,0.871,1.7,2,0.4,0.2,8,75,74,35.3,0.485,0.427,0.866,3.2,4.3,0.7,0.4,17.5,60,41,33.6,0.481,0.434,0.845,2.9,3.5,0.8,0.1,20.3,70,70,37.5,0.45,0.373,0.868,3.7,6.2,1,0.5,25.9,Yes,1,1
R. J. Hampton,2020,24,SG,25,0,9.3,0.417,0.278,0.75,2,0.6,0.2,0.1,2.6,64,14,21.9,0.383,0.35,0.641,3,2.5,0.7,0.2,7.6,26,0,13.9,0.439,0.34,0.838,1.5,1.3,0.6,0.2,5.7,8,2,9.5,0.286,0.125,0.5,0.8,1,0,0,1.3,Yes,0,0
Immanuel Quickley,2020,25,SG,64,3,19.4,0.395,0.389,0.891,2.1,2,0.5,0.2,11.4,78,3,23.1,0.392,0.346,0.881,3.2,3.5,0.7,0,11.3,81,21,28.9,0.448,0.37,0.819,4.2,3.4,1,0.2,14.9,30,0,24,0.454,0.395,0.872,2.6,2.5,0.5,0.1,15,Yes,0,0
Payton Pritchard,2020,26,PG,66,4,19.2,0.44,0.411,0.889,2.4,1.8,0.6,0.1,7.7,71,2,14.1,0.429,0.412,1,1.9,2,0.4,0.1,6.2,48,3,13.4,0.412,0.364,0.75,1.8,1.3,0.3,0,5.6,82,5,22.3,0.468,0.385,0.821,3.2,3.4,0.5,0.1,9.6,Yes,0,0
Udoka Azubuike,2020,27,C,15,0,3.8,0.444,0,0.8,0.9,0,0.1,0.3,1.1,17,6,11.5,0.755,0,0.545,4.2,0,0.1,0.6,4.7,36,4,10,0.819,0,0.35,3.3,0.3,0.2,0.4,3.5,16,0,7.1,0.696,0,0.231,2,0.2,0.1,0.4,2.2,Yes,0,0